	Status		Date			Description			Amount	
	Cleared		04/03/2025		MEMBERSHIP FEE APR 25-MAR 26			$ 0.00	
	Cleared		03/29/2025		STATE FARM INSURANCE BLOOMINGTON IL			$ 11.50	
	Cleared		03/21/2025		AUTOPAY 220617121438784RAUTOPAY AUTO-PMT			 -$ 11.50	
	Cleared		03/08/2025		AMAZON MKTPL*EB63Y98V3 Amzn.com/bill WA null XXXXXXXXXXXX4276			$ 10.77	
	Cleared		03/01/2025		STATE FARM INSURANCE BLOOMINGTON IL			$ 11.50	
	Cleared		02/21/2025		AUTOPAY 220617121438784RAUTOPAY AUTO-PMT			 -$ 54.39	
	Cleared		01/29/2025		STATE FARM INSURANCE BLOOMINGTON IL			$ 11.50	
	Cleared		01/26/2025		SEAPORT MARKET SAN DIEGO CA			$ 19.51	
	Cleared		01/21/2025		AUTOPAY 220617121438784RAUTOPAY AUTO-PMT			 -$ 11.50	
	Cleared		01/04/2025		Amazon.com*ZP9WI2630 Amzn.com/bill WA null XXXXXXXXXXXX4276			$ 23.38	
